Date,P/L,%change,AGI,MAXS,RRHI
2018-01-19,-82.44,,,,
2018-01-22,-189.55,L,,,
2018-01-23,-110.24,P,,,
2018-01-24,-5.69,P,,,
2018-01-25,-3.26,P,,,
2018-01-26,-93.44,L,,,
2018-01-29,-147.05,L,,,
2018-01-30,-220.44,L,,,
2018-01-31,-464.24,L,,,
2018-02-01,-540.57,L,,,
2018-02-02,-210.45,P,137.40,-68.05,-279.80
2018-02-05,-401.76,L,125.47,-167.16,-360.07
2018-02-06,-669.45,L,85.72,-216.71,-538.46
2018-02-07,-471.10,P,135.41,-157.25,-449.27
2018-02-08,-342.27,P,135.41,-206.80,-270.88
2018-02-09,-648.10,L,101.62,-295.99,-453.73
2018-02-12,-659.46,L,115.54,-325.73,-449.27
2018-02-13,-670.90,L,107.59,-325.73,-426.97
2018-02-14,-812.21,L,67.83,-395.10,-484.94
2018-02-15,-883.10,L,59.88,-444.65,-498.32
2018-02-19,-853.89,P,49.94,-454.56,-449.27
2018-02-20,-813.25,P,67.83,-355.46,-449.27
2018-02-21,-822.63,L,63.86,-414.92,-471.57
2018-02-22,"-1,009.02",L,40.00,-523.94,-525.08
2018-02-23,"-1,143.34",L,28.08,-632.95,-538.46
2018-02-26,"-1,252.38",L,18.14,-732.06,-538.46
2018-02-27,"-1,456.37",L,75.78,-850.98,-681.17
2018-02-28,"-1,530.28",L,47.95,-910.45,-667.79
2018-03-01,"-1,285.95",P,63.86,-900.54,-449.27
2018-03-02,"-1,236.35",P,77.77,-722.15,-591.98
2018-03-05,"-1,512.47",L,40.00,-831.16,-721.31
2018-03-06,"-1,385.12",P,40.00,-761.79,-663.33
2018-03-07,"-1,363.44",P,-3.73,-821.25,-538.46
2018-03-08,"-1,323.71",P,26.09,-811.34,-538.46
2018-03-09,"-1,357.36",L,41.99,-860.89,-538.46
2018-03-12,"-1,313.77",P,24.10,-900.54,-538.46
2018-03-13,"-1,414.89",L,22.11,-831.16,-538.46
2018-03-14,"-1,347.51",P,16.15,-850.98,-774.83
2018-03-15,"-1,609.66",L,30.07,-900.54,"-1,163.30"
2018-03-16,"-2,033.77",L,30.07,-900.54,"-1,163.30"
2018-03-19,"-2,261.39",L,16.15,-890.62,"-1,386.92"
2018-03-20,"-2,470.64",L,-43.48,"-1,049.19","-1,377.97"
2018-03-21,"-2,512.83",L,-79.26,"-1,069.01","-1,364.55"
2018-03-22,"-2,298.62",P,-101.12,"-1,078.92","-1,118.58"
2018-03-23,"-2,440.63",L,-122.99,"-1,118.57","-1,199.08"
2018-03-26,"-2,468.38",L,-146.84,"-1,158.24","-1,163.30"
2018-03-27,"-2,165.51",P,-101.12,"-1,148.30","-1,042.55"
2018-03-28,"-2,187.28",P,-101.12,"-1,128.48",-957.68
2018-04-02,"-2,164.40",P,-71.31,"-1,108.66",-984.43
2018-04-03,"-2,025.62",P,-61.37,"-1,069.01",-895.24
2018-04-04,"-2,220.19",L,-61.37,"-1,049.19","-1,109.63"
2018-04-05,"-2,048.33",P,-31.55,"-1,059.10",-957.68
2018-04-06,"-2,048.40",L,-55.41,"-1,088.83",-904.16
2018-04-10,"-2,420.67",L,-39.50,"-1,217.87","-1,163.30"
2018-04-11,"-2,313.33",P,-21.62,"-1,217.87","-1,073.85"
2018-04-12,"-2,637.33",L,-1.74,"-1,257.62","-1,377.97"
2018-04-13,"-2,860.95",L,-3.73,"-1,506.08","-1,351.14"
2018-04-16,"-2,983.19",L,-5.71,"-1,545.84","-1,431.64"
2018-04-17,"-3,132.27",L,-1.74,"-1,645.22","-1,485.31"
2018-04-18,"-3,111.40",P,-1.74,"-1,704.85","-1,404.80"
2018-04-19,"-2,939.46",P,-71.31,"-1,794.30","-1,073.85"
2018-04-20,"-2,995.12",L,-107.09,"-1,724.73","-1,163.30"
2018-04-23,"-2,863.93",P,-117.02,"-1,744.61","-1,002.30"
2018-04-24,"-2,850.04",P,-101.12,"-1,764.48",-984.43
2018-04-25,"-2,929.52",L,-121.00,"-1,734.67","-1,073.85"
2018-04-26,"-3,237.62",L,-130.94,"-1,943.38","-1,163.30"
2018-04-27,"-3,068.66",P,-124.98,"-1,923.50","-1,020.18"
2018-04-30,"-2,826.69",P,-117.02,"-1,903.62",-806.05
2018-05-02,"-2,901.01",L,-101.12,"-1,913.56",-886.32
2018-05-03,"-2,970.68",L,-107.09,"-2,012.95",-850.64
2018-05-04,"-3,001.41",L,-101.12,"-2,022.89",-877.40
2018-05-07,"-2,979.60",P,-107.09,"-2,012.95",-859.56
2018-05-08,"-3,274.88",L,-117.02,"-2,052.70","-1,105.16"
2018-05-09,"-3,368.80",L,-113.05,"-2,092.46","-1,163.30"
2018-05-10,"-3,617.27",L,-117.02,"-2,390.61","-1,109.63"
2018-05-11,"-3,480.63",P,-61.37,"-2,430.36",-988.89
2018-05-14,"-3,480.63",L,-61.37,"-2,430.36",-988.89
2018-05-15,"-3,232.90",P,-57.39,"-2,271.35",-904.16
2018-05-16,"-3,462.25",L,-77.27,"-2,400.55",-984.43
2018-05-17,"-3,409.81",P,-105.10,"-2,400.55",-904.16
2018-05-18,"-3,650.06",L,-113.05,"-2,490.00","-1,047.02"
2018-05-21,"-3,500.27",P,-105.10,"-2,499.93",-895.24
2018-05-22,"-3,560.39",L,-111.06,"-2,549.63",-899.70
2018-05-23,"-3,724.83",L,-122.99,"-2,688.77",-913.08
2018-05-24,"-4,110.22",L,-122.99,"-2,967.04","-1,020.18"
2018-05-25,"-4,009.34",P,-111.06,"-2,748.40","-1,149.88"
2018-05-28,"-3,798.33",P,-119.01,"-2,748.40",-930.92
2018-05-29,"-3,683.14",P,-119.01,"-2,668.89",-895.24
2018-05-30,"-4,044.62",L,-122.99,"-2,847.78","-1,073.85"
2018-05-31,"-3,913.43",P,-91.18,"-2,748.40","-1,073.85"
2018-06-01,"-3,987.01",L,-115.04,"-2,887.54",-984.43
2018-06-04,"-4,127.11",L,-121.00,"-2,976.98","-1,029.13"
2018-06-05,"-4,114.22",P,-103.11,"-3,026.67",-984.43
2018-06-06,"-4,211.59",L,-113.05,"-3,006.80","-1,091.74"
2018-06-07,"-4,226.50",L,-111.06,"-2,996.86","-1,118.58"
2018-06-08,"-4,221.53",P,-122.99,"-3,006.80","-1,091.74"
2018-06-11,"-4,213.58",P,-124.98,"-2,996.86","-1,091.74"
2018-06-13,"-4,500.80",L,-136.90,"-3,155.87","-1,208.02"
2018-06-14,"-4,780.07",L,-142.86,"-3,205.57","-1,431.64"
2018-06-15,"-4,780.07",L,-142.86,"-3,205.57","-1,431.64"
2018-06-18,"-4,942.07",L,-156.78,"-3,255.26","-1,530.03"
2018-06-19,"-5,096.61",L,-170.69,"-3,275.14","-1,650.78"
2018-06-20,"-5,379.36",L,-170.69,"-3,374.52","-1,834.15"
2018-06-21,"-5,280.97",P,-186.59,"-3,394.40","-1,699.98"
2018-06-22,"-5,423.09",L,-220.39,"-3,493.78","-1,708.92"
2018-06-25,"-5,579.13",L,-226.35,"-3,473.91","-1,878.87"
2018-06-26,"-5,755.04",L,-258.15,"-3,483.85","-2,013.04"
2018-06-27,"-5,665.59",P,-258.15,"-3,573.29","-1,834.15"
2018-06-28,"-5,819.64",L,-260.14,"-3,573.29","-1,986.21"
2018-06-29,"-5,526.45",P,-258.15,"-3,434.15","-1,834.15"
2018-07-02,"-5,578.13",L,-258.15,"-3,503.72","-1,816.26"
2018-07-03,"-5,647.70",L,-258.15,"-3,573.29","-1,816.26"
2018-07-04,"-5,503.59",P,-250.20,"-3,553.41","-1,699.98"
2018-07-05,"-5,368.93",P,-250.20,"-3,593.17","-1,525.56"
2018-07-06,"-5,279.48",P,-250.20,"-3,593.17","-1,436.11"
2018-07-09,"-5,549.31",L,-256.16,"-3,682.62","-1,610.53"
2018-07-10,"-5,449.93",P,-256.16,"-3,672.68","-1,521.09"
2018-07-11,"-5,374.39",P,-256.16,"-3,632.92","-1,485.31"
2018-07-12,"-5,392.28",L,-260.14,"-3,593.17","-1,538.97"
2018-07-13,"-5,403.21",L,-254.18,"-3,583.23","-1,565.81"
2018-07-16,"-5,261.09",P,-256.16,"-3,483.85","-1,521.09"
2018-07-17,"-5,263.08",L,-258.15,"-3,483.85","-1,521.09"
2018-07-18,"-5,193.51",P,-238.27,"-3,434.15","-1,521.09"
2018-07-19,"-5,108.04",P,-252.19,"-3,334.77","-1,521.09"
2018-07-20,"-5,028.53",P,-232.31,"-3,275.14","-1,521.09"
2018-07-23,"-5,010.39",P,-254.20,"-3,234.94","-1,521.08"
2018-07-24,"-4,648.88",P,-240.27,"-2,887.54","-1,521.08"
2018-07-25,"-4,944.05",L,-226.35,"-3,026.68","-1,691.02"
2018-07-26,"-4,555.96",P,-232.32,"-2,887.54","-1,436.10"
2018-07-27,"-4,310.97",P,-230.33,"-2,827.91","-1,252.74"
2018-07-30,"-4,082.39",P,-210.45,"-2,708.64","-1,163.29"
2018-07-31,"-4,243.39",L,-228.34,"-2,708.64","-1,306.40"
2018-08-01,"-4,249.35",L,-218.40,"-2,867.66","-1,163.29"
2018-08-02,"-4,231.46",P,-220.39,"-2,937.23","-1,073.84"
2018-08-03,"-3,849.82",P,-202.50,"-2,609.26","-1,038.06"
2018-08-06,"-3,829.45",P,-216.41,"-2,579.44","-1,033.59"
2018-08-07,"-3,973.06",L,-220.39,"-2,589.38","-1,163.29"
2018-08-08,"-3,872.68",P,-214.43,"-2,450.24","-1,208.01"
2018-08-09,"-3,669.94",P,-178.65,"-2,301.17","-1,190.12"
2018-08-10,"-3,745.97",L,-162.75,"-2,281.29","-1,301.93"
2018-08-13,"-4,253.33",L,-206.48,"-2,490.00","-1,556.85"
2018-08-14,"-4,365.14",L,-182.62,"-2,639.08","-1,543.44"
2018-08-15,"-4,255.81",P,-190.57,"-2,539.69","-1,525.55"
2018-08-16,"-4,378.06",L,-192.56,"-2,490.00","-1,695.51"
